"","color","names","degree"
"158","#C578F5","Dioszegia",0
"159","#D194F7","Diplogelasinospora",15
"160","#CA83F6","Drechslera",3
"161","#E2BBFA","Entoloma",1
"162","#D194F7","Entorrhiza",1
"163","#E0B6FA","Eucasphaeria",4
"164","#ECD3FC","Exidia",0
"165","#B95BF4","Exophiala",20
"166","#F3E4FD","Exophiala",15
"167","#DDB0F9","Exophiala",3
"168","#F3E4FD","Fellozyma",4
"169","#DBACF9","Filobasidiella",4
"170","#F3E4FD","Filobasidium",2
"171","#B24CF2","Filobasidium",2
"172","#C271F5","Filobasidium",0
"173","#E9CBFB","Filobasidium",0
"174","#CE8CF7","Filobasidium",6
"175","#A226F0","Fimetariella",20
"176","#A732F1","Fimetariella",0
"177","#AD3EF2","Fimetariella",20
"178","#F3E4FD","Fimetariella",1
"179","#ECD3FC","Flagelloscypha",0
"180","#D398F8","Fusarium",0
"181","#B44FF3","galerina",4
"182","#AD40F2","galerina",0
"183","#E2BBFA","Gloeophyllum",4
"184","#A834F1","Guehomyces",0
"185","#B34EF3","Gymnopilus",1
"186","#DFB4FA","Gymnopilus",0
"187","#DDB0F9","Helgardia",7
"188","#D6A0F8","Humicola",0
"189","#E9CBFB","Hyaloscypha",2
"190","#CA83F6","Hyaloscypha",3
"191","#ECD3FC","Hyaloscypha",1
"192","#BD64F4","Hyaloscypha",0
"193","#AB3BF1","Hyaloscypha",0
"194","#C06BF5","Hyaloscypha",0
"195","#AF44F2","Hyaloscypha",0
"196","#A329F0","Hyaloscypha",0
"197","#C06BF5","Hyaloscypha",2
"198","#C06BF5","Hyaloscypha",0
"199","#ECD3FC","Hyaloscypha",0
"200","#AA38F1","Hyaloscypha",0
"201","#A730F1","Hyaloscypha",0
"202","#DDB0F9","Hymenoscyphus",4
"203","#B95CF4","Hyphodontia",20
"204","#C981F6","Hyphodontia",5
"205","#F3E4FD","Hyphodontia",3
"206","#BE67F4","Ilyonectria",0
"207","#B045F2","Ilyonectria",0
"208","#B24AF2","Ilyonectria",2
"209","#BE67F4","Knufia",6
"210","#ECD3FC","Kondoa",3
"211","#CF8FF7","Krasilnikovozyma",0
"212","#B756F3","Krasilnikovozyma",0
"213","#B450F3","Lecanicillium",0
"214","#DDB0F9","Lecanicillium",0
"215","#A935F1","Leptodontidium",0
"216","#A833F1","Leptodontidium",0
"217","#E6C4FB","Leptospora",3
"218","#D092F7","Leucosporidium",2
"219","#AA39F1","Leucosporidium",11
"220","#BA5FF4","Leucosporidium",0
"221","#A327F0","Leucosporidium",8
"222","#A123F0","Leucosporidium",0
"223","#E6C4FB","Lobulomyces",0
"224","#DBAAF9","Lobulomyces",0
"225","#DBAAF9","Lycoperdon",0
"226","#D7A2F8","Malassezia",3
"227","#D091F7","Malassezia",0
"228","#CD89F7","Malassezia",0
"229","#F3E4FD","Malassezia",3
"230","#EFDBFC","Malassezia",0
"231","#EFDBFC","Malassezia",0
"232","#B148F2","Malassezia",3
"233","#C475F5","Malassezia",0
"234","#F3E4FD","Mariannaea",6
"235","#AE42F2","Mastigobasidium",0
"236","#CA84F6","Melanopsichium",5
"237","#A42BF0","Meliniomyces",1
"238","#AB3BF1","Meliniomyces",0
"239","#A62EF1","Meliniomyces",0
"240","#A021F0","Meliniomyces",0
"241","#C475F5","Meliniomyces",0
"242","#A226F0","Meliniomyces",0
"243","#B34DF3","Meliniomyces",0
"244","#BE67F4","Meliniomyces",0
"245","#C271F5","Meliniomyces",0
"246","#E0B6FA","Meliniomyces",0
"247","#BF6AF5","Meliniomyces",0
"248","#F3E4FD","Meliniomyces",0
"249","#D296F7","Meliniomyces",2
"250","#AB3AF1","Meliniomyces",0
"251","#BF68F4","Meliniomyces",0
"252","#A937F1","Meliniomyces",6
"253","#CC87F6","Meliniomyces",0
"254","#B450F3","Meliniomyces",0
"255","#D59CF8","Meliniomyces",0
"256","#AE41F2","Meliniomyces",0
"257","#A225F0","Meliniomyces",0
"258","#AB3AF1","Meliniomyces",0
"259","#C67BF6","Metacordyceps",2
"260","#CD8BF7","Metacordyceps",0
"261","#BB60F4","Metarhizium",0
"262","#ECD3FC","Metarhizium",1
"263","#DBACF9","Moesziomyces",4
"264","#EFDBFC","Monilinia",0
"265","#D092F7","Monographella",1
"266","#BB60F4","Mortierella",0
"267","#A42BF0","Mortierella",5
"268","#ECD3FC","Mortierella",0
"269","#E6C4FB","Mortierella",2
"270","#FAF4FE","Mortierella",0
"271","#ECD3FC","Mortierella",2
"272","#AE42F2","Mortierella",5
"273","#B148F2","Mortierella",0
"274","#B34EF3","Mortierella",0
"275","#A42AF0","Mortierella",0
"276","#D296F7","Mortierella",1
"277","#AD40F2","Mortierella",0
"278","#E2BBFA","Mortierella",0
"279","#DBACF9","Mortierella",7
"280","#A62FF1","Mortierella",1
"281","#C271F5","Mortierella",9
"282","#F3E4FD","Mortierella",0
"283","#EFDBFC","Mortierella",1
"284","#A62FF1","Mortierella",5
"285","#DDB0F9","Mortierella",4
"286","#A732F1","Mortierella",0
"287","#B654F3","Mortierella",0
"288","#F3E4FD","Mortierella",1
"289","#D6A0F8","Mortierella",5
"290","#B34DF3","Mortierella",0
"291","#BE66F4","Mortierella",0
"292","#C475F5","Mortierella",20
"293","#EFDBFC","Mortierella",5
"294","#A328F0","Mortierella",0
"295","#DBACF9","Mortierella",0
"296","#B553F3","Mortierella",0
"297","#C373F5","Mortierella",11
"298","#A834F1","Mortierella",0
"299","#B95CF4","Mortierella",0
"300","#F3E4FD","Mortierella",2
"301","#B95BF3","Mortierella",1
"302","#AC3DF1","Mortierella",6
"303","#A52DF0","Mrakia",0
"304","#FAF4FE","Mucor",2
"305","#FAF4FE","Mucor",4
"306","#A327F0","Mycena",2
"307","#A225F0","Mycena",1
"308","#E2BBFA","Mycena",0
"309","#F3E4FD","Mycena",0
